분류,단어,등급
조사,이,1
조사,가,1
조사,과,1
조사,와,1
조사,까지,1
조사,께서,1
조사,은1,1
조사,는1,1
조사,ㄴ1,1
조사,도,1
조사,을1,1
조사,를,1
조사,ㄹ1,1
조사,이랑,1
조사,랑,1
조사,으로,1
조사,로,1
조사,부터,1
조사,에서부터,1
조사,서부터,1
조사,에,1
조사,다가,1
조사,에다가,1
조사,에다,1
조사,에게,1
조사,에게로,1
조사,에게서,1
조사,에서,1
조사,서2,1
조사,의,1
조사,하고,1
조사,만,1
조사,이다,1
조사,한테,1
조사,보다,1
선어말어미,겠,1
선어말어미,었,1
선어말어미,았,1
선어말어미,였,1
선어말어미,으시,1
선어말어미,시,1
연결어미,고3,1
연결어미,으니까,1
연결어미,니까,1
연결어미,으러,1
연결어미,러,1
연결어미,어서,1
연결어미,아서,1
연결어미,여서,1
연결어미,어2,1
연결어미,아2,1
연결어미,여1,1
연결어미,라서,1
연결어미,라4,1
연결어미,지만,1
연결어미,으려고1,1
연결어미,려고1,1
연결어미,으려,1
연결어미,려,1
종결어미,습니까,1
종결어미,ㅂ니까,1
종결어미,습니다,1
종결어미,ㅂ니다,1
종결어미,읍시다,1
종결어미,ㅂ시다,1
종결어미,으세요,1
종결어미,세요,1
종결어미,으셔요,1
종결어미,셔요,1
종결어미,으시어요,1
종결어미,시어요,1
종결어미,으십시오,1
종결어미,십시오,1
종결어미,고4,1
종결어미,고요,1
종결어미,을까,1
종결어미,ㄹ까,1
종결어미,을까요,1
종결어미,ㄹ까요,1
종결어미,어2,1
종결어미,아2,1
종결어미,여2,1
종결어미,야3,1
종결어미,어요,1
종결어미,아요,1
종결어미,여요,1
종결어미,에요,1
조사,께,2
조사,마다,2
조사,밖에,2
조사,처럼,2
조사,에서부터,2
조사,서부터,2
조사,에다가,2
조사,에다,2
조사,에게로,2
조사,에게서,2
조사,한테서,2
조사,이나,2
조사,나1,2
연결어미,거나,2
연결어미,는데1,2
연결어미,은데1,2
연결어미,ㄴ데1,2
연결어미,으면,2
연결어미,면,2
연결어미,으면서,2
연결어미,면서,2
연결어미,게2,2
연결어미,다가1(1),2
연결어미,다5,2
연결어미,다가도,2
전성어미,기,2
전성어미,는2,2
전성어미,은3,2
전성어미,ㄴ3,2
전성어미,은2,2
전성어미,ㄴ4,2
전성어미,을2,2
전성어미,ㄹ2,2
전성어미,은3,2
전성어미,음,2
전성어미,ㅁ,2
종결어미,는군,2
종결어미,군,2
종결어미,는군요,2
종결어미,군요,2
종결어미,을게,2
종결어미,ㄹ게,2
종결어미,을게요,2
종결어미,ㄹ게요,2
종결어미,지,2
종결어미,지요,2
종결어미,죠,2
종결어미,는데2,2
종결어미,ㄴ데2,2
종결어미,은데2,2
종결어미,는데요,2
종결어미,ㄴ데요,2
종결어미,은데요,2
종결어미,네,2
종결어미,네요,2
종결어미,을래,2
종결어미,을래요,2
종결어미,ㄹ래요,2
조사,같이,3
조사,이고,3
조사,고1,3
조사,대로,3
조사,으로부터,3
조사,만큼,3
조사,만치,3
조사,보고,3
조사,뿐,3
조사,아1,3
조사,야1,3
조사,요1,3
조사,이라고1,3
조사,라고1,3
조사,라3,3
조사,이라,3
선어말어미,었었,3
선어말어미,았었,3
선어말어미,였었,3
연결어미,거든1,3
연결어미,거들랑,3
연결어미,는다거나1,3
연결어미,ㄴ다거나1,3
연결어미,다거나1,3
연결어미,라거나1,3
연결어미,는다고1,3
연결어미,다고1,3
연결어미,라고3,3
연결어미,으라고1,3
연결어미,자고1,3
연결어미,으나,3
연결어미,나4,3
연결어미,느라고,3
연결어미,느라,3
연결어미,도록,3
연결어미,어다가,3
연결어미,아다가,3
연결어미,여다가,3
연결어미,어다,3
연결어미,아다,3
연결어미,여다,3
연결어미,어도,3
연결어미,아도,3
연결어미,여도,3
연결어미,라도2,3
연결어미,이라도,3
연결어미,어야,3
연결어미,아야,3
연결어미,여야,3
연결어미,어야만,3
연결어미,아야만,3
연결어미,여야만,3
연결어미,어야지1,3
연결어미,아야지1,3
연결어미,여야지1,3
연결어미,었더니,3
연결어미,았더니,3
연결어미,였더니,3
연결어미,자마자,3
연결어미,자2,3
연결어미,다가1(2),3
연결어미,다5,3
연결어미,다가도,3
연결어미,으니2,3
연결어미,니4,3
연결어미,으려면,3
연결어미,려면,3
전성어미,던,3
종결어미,거든2,3
종결어미,거든요,3
종결어미,는구나,3
종결어미,구나,3
종결어미,는다,3
종결어미,ㄴ다,3
종결어미,다2,3
종결어미,던데2,3
종결어미,던데요,3
종결어미,잖아,3
종결어미,잖아요,3
종결어미,자3,3
종결어미,니2,3
종결어미,으니5,3
조사,커녕,4
조사,ㄴ커녕,4
조사,는커녕,4
조사,은커녕,4
조사,이나마,4
조사,나마,4
조사,이며,4
조사,며,4
조사,이니,4
조사,니1,4
조사,하며,4
조사,하고,4
조사,이다2,4
조사,이든,4
조사,든1,4
조사,이든지,4
조사,든지1,4
조사,이든가,4
조사,든가1,4
조사,이란,4
조사,란1,4
조사,이면,4
조사,면1,4
조사,이야,4
조사,야2,4
조사,치고,4
조사,까지2,4
조사,이라도,4
조사,라도1,4
조사,으로서,4
조사,로서,4
조사,으로써,4
조사,로써,4
조사,마저,4
연결어미,거니와,4
연결어미,고도,4
연결어미,고자,4
연결어미,기에,4
연결어미,는지,4
연결어미,ㄴ지1,4
연결어미,은지1,4
연결어미,을지,4
연결어미,다시피,4
연결어미,더라도,4
연결어미,든지2,4
연결어미,든2,4
연결어미,든가2,4
연결어미,으므로,4
연결어미,므로,4
연결어미,을래야,4
연결어미,ㄹ래야,4
연결어미,고서,4
연결어미,고서는,4
연결어미,고서야,4
연결어미,는다면1,4
연결어미,ㄴ다면1,4
연결어미,다면1,4
연결어미,라면1,4
연결어미,더니,4
연결어미,던데1,4
연결어미,듯이,4
연결어미,을수록,4
연결어미,ㄹ수록,4
연결어미,으며,4
연결어미,며2,4
종결어미,는다니2,4
종결어미,ㄴ다니2,4
종결어미,다니3,4
종결어미,라니3,4
종결어미,더군,4
종결어미,더군요,4
종결어미,더라,4
종결어미,어라1,4
종결어미,아라1,4
종결어미,여라1,4
종결어미,게5,4
종결어미,게요1,4
종결어미,는다면서1,4
종결어미,ㄴ다면서1,4
종결어미,다면서1,4
종결어미,라면서1,4
종결어미,는다면서요,4
종결어미,다면서요,4
종결어미,라면서요,4
종결어미,나3,4
종결어미,나요,4
종결어미,을걸,4
종결어미,ㄹ걸,4
종결어미,을걸요,4
종결어미,ㄹ걸요,4
종결어미,어야지2,4
종결어미,아야지2,4
종결어미,여야지2,4
종결어미,어야지요,4
종결어미,아야지요,4
종결어미,여야지요,4
종결어미,고4,4
종결어미,고요,4
종결어미,다니1,4
종결어미,다니요,4
종결어미,라니1,4
종결어미,라니요1,4
조사,이라든가,5
조사,라든가1,5
조사,이라든지,5
조사,라든지1,5
조사,따라,5
조사,조차,5
연결어미,지1,5
연결어미,을뿐더러,5
연결어미,ㄹ뿐더러,5
연결어미,고는,5
연결어미,곤,5
연결어미,고는 하다,5
연결어미,곤 하다,5
연결어미,길래,5
연결어미,다가는 ,5
연결어미,다간,5
연결어미,단1,5
연결어미,을지라도,5
연결어미,ㄹ지라도,5
연결어미,느니1,5
연결어미,느니보다,5
연결어미,느니보다는,5
종결어미,네2,5
종결어미,다4,5
종결어미,다니1,5
종결어미,다니요,5
종결어미,라니1,5
종결어미,라니요1,5
종결어미,으라니1,5
종결어미,으라니요,5
종결어미,­으려고2,5
종결어미,­려고2,5
종결어미,­려고요,5
종결어미,­으려고요,5
종결어미,거라,5
종결어미,고말고,5
종결어미,고말고요,5
종결어미,는가1,5
종결어미,ㄴ가1,5
종결어미,은가1,5
종결어미,는걸,5
종결어미,ㄴ걸,5
종결어미,은걸,5
종결어미,ㄴ걸요,5
종결어미,는걸요,5
종결어미,은걸요,5
종결어미,데,5
종결어미,데요,5
종결어미,더라고,5
종결어미,더라고요,5
조사,마는,6
조사,만2,6
조사,깨나,6
조사,이라고2,6
조사,라고2,6
조사,을랑,6
조사,이라면,6
조사,라면1,6
연결어미,거들랑1,6
연결어미,걸랑1,6
연결어미,노라면,6
연결어미,건대,6
연결어미,건만,6
연결어미,건마는,6
연결어미,기로서니,6
연결어미,느니만큼,6
연결어미,니만큼,6
연결어미,으니만큼,6
연결어미,느니만치,6
연결어미,니만치,6
연결어미,으니만치,6
연결어미,되,6
연결어미,으되,6
연결어미,로되,6
연결어미,디1,6
연결어미,이라야,6
연결어미,라야,6
연결어미,이라야만,6
연결어미,라야만,6
연결어미,으련마는,6
연결어미,련마는,6
연결어미,으련만,6
연결어미,련만,6
연결어미,자니3,6
연결어미,자2,6
연결어미,자니까3,6
연결어미,는다고1,6
연결어미,다고1,6
연결어미,라고3,6
연결어미,으라고1,6
연결어미,자고1,6
연결어미,자면1,6
연결어미,은들 ,6
연결어미,ㄴ들2,6
연결어미,인들,6
연결어미,을망정,6
연결어미,ㄹ망정,6
연결어미,ㄹ지언정,6
연결어미,을지언정,6
연결어미,을라치면,6
연결어미,ㄹ라치면,6
종결어미,는구려,6
종결어미,구려1,6
종결어미,는구먼,6
종결어미,구먼,6
종결어미,구먼요,6
종결어미,는구먼요,6
종결어미,그려,6
종결어미,으리라,6
종결어미,리라,6
종결어미,으오,6
종결어미,오,6
종결어미,으니4,6
종결어미,거들랑2 ,6
종결어미,걸랑2,6
종결어미,게3,6
종결어미,게4,6
종결어미,구려2,6
종결어미,네1,6
종결어미,는구만,6
종결어미,구만,6
종결어미,는가2,6
종결어미,ㄴ가2,6
종결어미,은가2,6
종결어미,나2,6
종결어미,던2,6
종결어미,던가1,6
종결어미,던가2,6
종결어미,라2,6
종결어미,으리오,6
종결어미,리오,6
종결어미,소,6
